possession_id,start_frame,end_frame,duration_frames,avg_spread,duration_sec
112,3356,3362,6,367.61159532277327,0.2
113,3363,3363,0,473.6508550536925,0.0
114,3364,3365,1,139.20842939920323,0.03333333333333333
115,3366,3368,2,495.0030208858402,0.06666666666666667
116,3369,3371,2,372.1555223007667,0.06666666666666667
117,3372,3373,1,130.8006254367271,0.03333333333333333
118,3375,3376,1,477.31280773789564,0.03333333333333333
119,3377,3377,0,351.57067582956995,0.0
120,3378,3380,2,458.9063161348284,0.06666666666666667
121,3386,3387,1,79.5563306635444,0.03333333333333333
122,3388,3388,0,485.8438024334573,0.0
123,3389,3390,1,93.70277162933388,0.03333333333333333
124,3391,3393,2,519.4067361598176,0.06666666666666667
125,3395,3397,2,111.50396379320195,0.06666666666666667
126,3399,3399,0,518.148812312315,0.0
127,3401,3404,3,140.50534682934511,0.1
